id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,245172,240,50,815,405,660.0,236.25,1.025790810585022,0.9552758932113647,0,0,1280,720
1,183496,0,427,1279,259,1220.0,596.25,1.0210213661193848,0.9614171981811523,0,0,1280,720
2,13851,0,290,127,111,60.0,371.25,1.004280924797058,0.9816454648971558,0,0,1280,720
3,3910,397,162,77,79,460.0,191.25,1.002264142036438,0.9857723712921143,0,0,1280,720
4,1187,198,435,39,33,220.0,461.25,1.0013647079467773,0.9891121983528137,0,0,1280,720
5,2152,129,469,67,36,180.0,483.75,0.9983219504356384,0.9857010841369629,0,0,1280,720
6,66470,0,0,1279,64,740.0,56.25,0.9973701238632202,0.967348575592041,0,0,1280,720
7,3896,647,96,76,79,660.0,123.75,0.9962657690048218,0.989016592502594,0,0,1280,720
8,2616,909,653,49,66,940.0,686.25,0.9922906160354614,0.9866920113563538,0,0,1280,720
9,4326,363,641,89,78,420.0,708.75,0.9918993711471558,0.9869205951690674,0,0,1280,720
10,1073,1249,517,30,36,1260.0,528.75,0.9913691878318787,0.9851714372634888,0,0,1280,720
11,4971,0,250,127,39,60.0,258.75,0.9896761775016785,0.9770091772079468,0,0,1280,720
12,6345,1058,65,94,68,1140.0,101.25,0.9894084334373474,0.9737868905067444,0,0,1280,720
13,3957,901,131,78,81,940.0,168.75,0.9884161949157715,0.9899371266365051,0,0,1280,720
14,2248,1170,658,46,61,1180.0,663.75,0.9880001544952393,0.982386589050293,0,0,1280,720
15,2573,362,685,91,34,380.0,686.25,0.9878747463226318,0.9803467988967896,0,0,1280,720
16,4503,0,506,127,44,100.0,528.75,0.9878012537956238,0.9870015382766724,0,0,1280,720
17,119911,242,50,381,402,460.0,168.75,0.9871793985366821,0.9520925283432007,0,0,1280,720
18,10797,1249,63,30,490,1260.0,236.25,0.9862062931060791,0.968435525894165,0,0,1280,720
19,125813,635,61,420,394,660.0,168.75,0.9858929514884949,0.9597993493080139,0,0,1280,720
20,3407,1232,620,47,98,1260.0,686.25,0.9848183393478394,0.9796807169914246,0,0,1280,720
21,17908,197,45,43,423,220.0,258.75,0.9821072220802307,0.9855673313140869,0,0,1280,720
22,3235,1058,0,53,62,1100.0,56.25,0.9791580438613892,0.9849416017532349,0,0,1280,720
23,1675,909,653,42,50,940.0,686.25,0.9779203534126282,0.9822590351104736,0,0,1280,720
24,1309,814,184,43,47,820.0,191.25,0.9772557020187378,0.989353597164154,0,0,1280,720
25,1800,381,641,43,47,420.0,686.25,0.9750360250473022,0.9769357442855835,0,0,1280,720
26,5434,386,415,119,92,420.0,461.25,0.9747070074081421,0.9633176922798157,0,0,1280,720
27,1292,556,111,42,48,580.0,123.75,0.9745570421218872,0.9846035242080688,0,0,1280,720
28,9753,1086,396,164,188,1140.0,461.25,0.9719771146774292,0.967365026473999,0,0,1280,720
29,1329,292,135,43,48,300.0,146.25,0.9718201160430908,0.9895366430282593,0,0,1280,720
30,656,1188,4,39,18,1220.0,11.25,0.9702095985412598,0.9773070812225342,0,0,1280,720
31,1121,815,184,43,34,820.0,191.25,0.9699985384941101,0.9841269850730896,0,0,1280,720
32,90846,1045,58,234,495,1140.0,258.75,0.9689875841140747,0.9831435680389404,0,0,1280,720
33,1125,430,501,39,34,460.0,528.75,0.968449056148529,0.985035240650177,0,0,1280,720
34,1089,556,111,42,32,580.0,123.75,0.9671862721443176,0.9809437394142151,0,0,1280,720
35,1109,292,135,43,32,300.0,146.25,0.9671216607093811,0.9847942590713501,0,0,1280,720
36,2088,193,671,48,48,220.0,686.25,0.9669862389564514,0.9899857044219971,0,0,1280,720
37,35318,1045,65,106,414,1100.0,393.75,0.9669660925865173,0.9741058945655823,0,0,1280,720
38,1090,1001,650,32,37,1020.0,686.25,0.9653267860412598,0.9899451732635498,0,0,1280,720
39,3221,467,652,83,67,500.0,686.25,0.9652798175811768,0.9708767533302307,0,0,1280,720
40,848,1174,658,39,27,1180.0,663.75,0.9651889204978943,0.9836257100105286,0,0,1280,720
41,2266,1043,448,81,33,1060.0,461.25,0.9638435244560242,0.9811733961105347,0,0,1280,720
42,419,51,0,14,29,60.0,11.25,0.9635947942733765,0.9928740859031677,0,0,1280,720
43,2190,1177,485,71,34,1220.0,506.25,0.9633859992027283,0.9800994992256165,0,0,1280,720
44,6252,927,432,122,108,980.0,483.75,0.9630597829818726,0.9675232768058777,0,0,1280,720
45,2454,1001,651,49,68,1020.0,708.75,0.9628273248672485,0.9718536138534546,0,0,1280,720
46,11346,895,414,188,192,980.0,483.75,0.9626477956771851,0.9607470035552979,0,0,1280,720
